HPCA	BP	CellType_merged
T_cell:CD8+_effector_memory	CD8+ T-cells	CD8 T Cells
NK_cell:CD56hiCD62L+	CD8+ Tcm	Not Assigned
NK_cell	NK cells	NK Cells
T_cell:CD4+_Naive	CD4+ T-cells	CD4 T Cells
NK_cell	CD8+ Tem	Not Assigned
B_cell:Memory	Memory B-cells	B Cells
T_cell:CD8+_effector_memory	CD4+ T-cells	Not Assigned
T_cell:CD8+_Central_memory	CD8+ Tem	CD8 T Cells
Monocyte:S._typhimurium_flagellin	Monocytes	Monoctye DC
Monocyte:CD16-	Monocytes	Monoctye DC
Monocyte:CD16+	Monocytes	Monoctye DC
NK_cell:CD56hiCD62L+	Monocytes	Not Assigned
B_cell:Memory	Class-switched memory B-cells	B Cells
T_cell:CD4+_central_memory	CD4+ T-cells	CD4 T Cells
NK_cell:CD56hiCD62L+	NK cells	NK Cells
T_cell:gamma-delta	CD8+ Tcm	Not Assigned
B_cell:Naive	naive B-cells	B Cells
CMP	MPP	Not Assigned
B_cell:Plasma_cell	Plasma cells	B Cells
T_cell:CD4+_central_memory	CD4+ Tcm	CD4 T Cells
